user_id,movies_watched
1,"['Friday the 13th Part VI: Jason Lives', 'The Toxic Avenger', 'Little Miss Sunshine', 'Grace of Monaco', 'Snowpiercer', 'The Valley of Decision', 'Blast from the Past', 'Oorlogswinter', 'Marci X', 'Blood and Wine']"
2,"['City Island', 'The Veil', 'The Hunger Games: Mockingjay - Part 1', 'The Lincoln Lawyer', 'She Done Him Wrong', 'Mission: Impossible - Ghost Protocol', 'Black Christmas', 'Trekkies', 'I Dreamed of Africa', 'Død snø']"
3,"['Carrie', 'A Sound of Thunder', 'The Polar Express', 'Platoon', 'Yesterday Was a Lie', 'Clueless', 'Splice', 'Rebecca', 'Two Can Play That Game', 'Trade Of Innocents']"
4,"['De jurk', 'Bending Steel', ""Cirque du Freak: The Vampire's Assistant"", 'The Andromeda Strain', 'Salton Sea', 'One Hour Photo', 'Deconstructing Harry', 'Willy Wonka & the Chocolate Factory', 'Белка и Стрелка. Звёздные собаки', 'Unnatural']"
5,"['Barbershop', 'Thunderbirds', 'Project Almanac', 'A Most Violent Year', 'College', 'Delgo', 'All the Boys Love Mandy Lane', 'Harry Potter and the Goblet of Fire', 'Danny Collins', 'Very Bad Things']"
6,"['Out of the Blue', 'Ong Bak 2', 'Paa', 'Inside Job', 'In the Company of Men', 'Cat People', 'Patton', 'Almost Famous', 'Spirit: Stallion of the Cimarron', '28 Days Later']"
7,"['Resident Evil', 'Deliver Us from Evil', 'Welcome to Mooseport', 'Reservoir Dogs', 'ATL', ""Cirque du Freak: The Vampire's Assistant"", 'Attack the Block', 'Immortals', 'Romeo Must Die', 'Gigli']"
8,"['Mission: Impossible - Rogue Nation', 'Heavenly Creatures', 'Savage Grace', 'Mary Reilly', 'Hav Plenty', 'Quarantine', 'The Little Prince', 'The Brass Teapot', 'Michael Collins', 'Barbershop']"
9,"['Straightheads', 'Rotor DR1', 'The Velocity of Gary', 'The Fault in Our Stars', 'Meteor', 'The Living Wake', 'Elizabeth: The Golden Age', 'The Object of My Affection', 'Superman', 'Dear Frankie']"
10,"['The Legend of Bagger Vance', 'Sleep Dealer', 'Skin Trade', 'Idle Hands', 'There Will Be Blood', 'Sorority Boys', 'The Sweeney', 'Bee Movie', 'In the Bedroom', 'JFK']"
